username,level,xp,gold,wins
DragonSlayer99,25,15000,5500,42
CoolCat2024,12,3500,1700,15
ProGamer,42,89000,25500,128
Noob123,3,250,600,1
StreamQueen,31,45000,12500,67
ShadowNinja,28,22000,9000,55
PixelWarrior,19,9800,3700,28
MysticMage,35,52000,16000,89
ThunderBolt,8,1800,1100,7
IceQueen,44,95000,28500,142
GhostRider,22,14500,5300,38
StarDestroyer,16,6200,2600,19
NeonKnight,38,68000,19500,103
CyberPunk,11,2900,1450,12
LunarWolf,29,28000,9700,61
PhoenixRising,47,120000,35500,167
CrimsonBlade,20,11000,4100,31
ArcticFox,14,4800,2100,17
VoidWalker,33,48000,14500,78
StormChaser,26,18500,6600,47
DiamondDust,9,2100,1200,9
RogueAgent,41,82000,24500,119
MidnightOwl,17,7500,3000,22
SolarFlare,36,58000,17500,94
TitanForce,6,1200,900,4
EmeraldDragon,30,35000,11000,65
SilverArrow,23,16000,5800,41
NovaStar,45,98000,29500,148
BlazeFury,13,4100,1850,14
CrystalShard,39,72000,21500,108
OmegaWolf,21,12500,4600,35
ZenMaster,48,125000,38500,175
QuantumLeap,7,1500,1000,6
VenomStrike,34,50000,15300,82
ElectricDream,18,8600,3350,25
RubyHeart,27,20000,7100,52
IronClad,10,2500,1320,10
MysticRaven,43,91000,27500,135
CosmicRay,15,5500,2350,18
DarkMatter,37,62000,18500,98
WildCard,24,17200,6200,44
FrostBite,32,42000,13000,72
GoldenEagle,5,900,800,3
SteelNerve,40,78000,23500,115
NebulaKing,49,130000,40500,182
ChaosTheory,4,600,700,2
LightningBug,46,105000,31500,155
SpectralGhost,50,150000,50500,200
